LGA_Arrival,Departure,travel_time_seconds
2018-12-11 19:35:39.147,2018-12-11 19:17:09.327,1110
2018-12-11 19:45:16.446,2018-12-11 19:28:16.457,1020
2018-12-11 20:08:36.654,2018-12-11 19:48:19.513,1217
2018-12-11 20:03:06.804,2018-12-11 19:48:19.513,887
2018-12-11 20:20:05.359,2018-12-11 20:04:12.966,952
2018-12-11 20:31:48.968,2018-12-11 20:11:11.640,1237
2018-12-11 20:38:00.190,2018-12-11 20:16:19.245,1301
2018-12-11 20:54:06.263,2018-12-11 20:31:48.968,1337
2018-12-11 21:00:53.048,2018-12-11 20:37:34.991,1398
2018-12-14 23:03:07.108,2018-12-14 22:30:50.089,1937
2018-12-14 23:00:22.614,2018-12-14 22:22:47.797,2255
2018-12-14 22:45:29.245,2018-12-14 21:59:12.906,2776
2018-12-14 22:53:08.056,2018-12-14 22:05:36.225,2852
2018-12-14 22:59:16.210,2018-12-14 22:21:16.124,2280
2018-12-14 23:12:14.796,2018-12-14 22:41:56.697,1818
2018-12-14 23:06:59.325,2018-12-14 22:45:29.245,1290
2018-12-14 23:17:44.539,2018-12-14 22:50:48.202,1616
2018-12-14 23:36:39.776,2018-12-14 23:16:54.736,1185
2018-12-14 23:24:47.011,2018-12-14 23:03:30.580,1276
2018-12-14 23:43:07.565,2018-12-14 23:19:19.761,1428
2018-12-15 00:12:37.800,2018-12-14 23:49:13.144,1405
2018-12-15 00:12:37.800,2018-12-14 23:52:07.300,1230
