Arrival Time,Wait
2018-12-15 00:10:18.768,0
2018-12-15 00:00:43.784,0 days 00:09:34.984000
2018-12-14 23:37:26.412,0 days 00:23:17.372000
2018-12-14 23:14:26.770,0 days 00:22:59.642000
2018-12-14 22:56:12.492,0 days 00:18:14.278000
2018-12-14 22:40:18.423,0 days 00:15:54.069000
2018-12-14 22:31:34.366,0 days 00:08:44.057000
2018-12-14 22:13:06.972,0 days 00:18:27.394000
2018-12-11 21:00:58.176,0
2018-12-11 20:42:30.561,0 days 00:18:27.615000
2018-12-11 20:20:49.173,0 days 00:21:41.388000
2018-12-11 20:00:34.390,0 days 00:20:14.783000
2018-12-11 19:36:21.305,0 days 00:24:13.085000
2018-12-11 19:20:02.823,0 days 00:16:18.482000
2018-12-11 19:03:22.603,0 days 00:16:40.220000
2018-12-10 21:04:48.049,0
2018-12-10 20:48:54.160,0 days 00:15:53.889000
2018-12-10 20:31:10.668,0 days 00:17:43.492000
2018-12-10 20:03:40.380,0 days 00:27:30.288000
2018-12-10 19:41:12.288,0 days 00:22:28.092000
2018-12-10 19:23:49.130,0 days 00:17:23.158000
